"ï»¿""Segment""",Symbol,Net Qty,Prev. Close (â¹),Realized Profit/Loss  (â¹),Unrealized Profit/Loss  (â¹),Profit/Loss (â¹),Buy Qty,Buy Rate (â¹),Sell Qty,Sell Rate (â¹),Open Qty,Open Rate (â¹)
NSE_FNO,NSE:NIFTY2281117700CE,0,0,-685,0,-685,200,45.375,200,41.95,0,0
NSE_FNO,NSE:NIFTY2281117800CE,0,0,2945,0,2945,100,19.7,100,49.15,0,0
NSE_FNO,NSE:NIFTY2281117850CE,0,0,2585,0,2585,200,20.75,200,33.675,0,0
NSE_FNO,NSE:NIFTY2281118000PE,0,0,9310,0,9310,200,493.4375,200,539.9875,0,0
NSE_FNO,NSE:NIFTY2281118750CE,0,0,-350,0,-350,200,1.8,200,0.05,0,0
NSE_FNO,NSE:NIFTY2281817900CE,0,0,-160,0,-160,150,45,150,43.9333,0,0
NSE_FNO,NSE:NIFTY22AUG13800PE,0,0,-45,0,-45,100,16.475,100,16.025,0,0
NSE_FNO,NSE:NIFTY22AUG16450PE,0,0,60,0,60,200,1.9,200,2.2,0,0
NSE_FNO,NSE:NIFTY22AUG16500CE,0,0,-457.5,0,-457.5,300,154.7833,300,153.2583,0,0
NSE_FNO,NSE:NIFTY22AUG16700CE,0,0,-312.5,0,-312.5,200,103.275,200,101.7125,0,0
NSE_FNO,NSE:NIFTY22AUG17400CE,0,0,-75,0,-75,100,17.375,100,16.625,0,0
NSE_FNO,NSE:NIFTY22AUG17400PE,0,0,-19295,0,-19295,100,208.8,100,15.85,0,0
NSE_FNO,NSE:NIFTY22AUG17650PE,0,0,385,0,385,100,38,100,41.85,0,0
NSE_FNO,NSE:NIFTY22AUG17900CE,0,0,-1230,0,-1230,100,97.7,100,85.4,0,0
NSE_FNO,NSE:NIFTY22AUG18000CE,0,0,-2140,0,-2140,100,81.1,100,59.7,0,0
NSE_FNO,NSE:NIFTY22AUG18000PE,0,0,37220,0,37220,100,176.7,100,548.9,0,0
NSE_FNO,NSE:NIFTY22AUG18100CE,0,0,-1677.5,0,-1677.5,200,42.9625,200,34.575,0,0
NSE_FNO,NSE:NIFTY22AUG18150CE,0,0,-162.5,0,-162.5,200,42.45,200,41.6375,0,0
NSE_FNO,NSE:NIFTY22AUG18200CE,0,0,-722.5,0,-722.5,300,44.8333,300,42.425,0,0
NSE_FNO,NSE:NIFTY22AUG18250CE,0,0,-485,0,-485,200,31.525,200,29.1,0,0
NSE_FNO,NSE:NIFTY22AUG18300CE,0,0,415,0,415,100,26.35,100,30.5,0,0
NSE_FNO,NSE:NIFTY22AUG18400CE,0,0,-730,0,-730,100,16.5,100,9.2,0,0
NSE_FNO,NSE:NIFTY22AUG18800CE,0,0,-690,0,-690,200,5.15,200,1.7,0,0
NSE_FNO,NSE:NIFTY22AUG19000CE,0,0,-160,0,-160,200,2.2,200,1.4,0,0
NSE_FNO,NSE:NIFTY22JUL14500PE,0,0,-185,0,-185,100,6.35,100,4.5,0,0
NSE_FNO,NSE:NIFTY22JUL14800PE,0,0,-342.5,0,-342.5,50,7.05,50,0.2,0,0
NSE_FNO,NSE:NIFTY22JUL14900PE,0,0,-1455,0,-1455,250,7.3,250,1.48,0,0
NSE_FNO,NSE:NIFTY22JUL15500CE,0,0,-52155,0,-52155,100,1073.05,100,551.5,0,0
NSE_FNO,NSE:NIFTY22JUL15500PE,0,0,5335,0,5335,100,7.95,100,61.3,0,0
NSE_FNO,NSE:NIFTY22JUL15800PE,0,0,-202.5,0,-202.5,50,4.25,50,0.2,0,0
NSE_FNO,NSE:NIFTY22JUL16000PE,0,0,3962.5,0,3962.5,50,7.65,50,86.9,0,0
NSE_FNO,NSE:NIFTY22JUL16100CE,0,0,35060,0,35060,100,144.5,100,495.1,0,0
NSE_FNO,NSE:NIFTY22JUL16200PE,0,0,1532.5,0,1532.5,50,16.2,50,46.85,0,0
NSE_FNO,NSE:NIFTY22JUL16250PE,0,0,197.5,0,197.5,100,15.5,100,17.475,0,0
NSE_FNO,NSE:NIFTY22JUL16400PE,0,0,1175,0,1175,100,45.25,100,57,0,0
NSE_FNO,NSE:NIFTY22JUL16500CE,0,0,18147.5,0,18147.5,200,114.9625,200,205.7,0,0
NSE_FNO,NSE:NIFTY22JUL16600CE,0,0,267.5,0,267.5,50,110,50,115.35,0,0
NSE_FNO,NSE:NIFTY22JUL16750CE,0,0,-21812.5,0,-21812.5,600,72.0083,600,35.6542,0,0
NSE_FNO,NSE:NIFTY22JUL16900CE,0,0,92.5,0,92.5,50,29.55,50,31.4,0,0
NSE_FNO,NSE:NIFTY22JUL16900PE,0,0,-370,0,-370,50,29.35,50,21.95,0,0
NSE_FNO,NSE:NIFTY22JUL17000CE,0,0,145,0,145,50,10.9,50,13.8,0,0
NSE_FNO,NSE:NIFTY22JUL17000PE,0,0,-1450,0,-1450,50,358.3,50,329.3,0,0
NSE_FNO,NSE:NIFTY22JUL17200CE,0,0,-140,0,-140,200,1.1,200,0.4,0,0
NSE_FNO,NSE:NIFTY22JUL17400CE,0,0,-10,0,-10,100,1.95,100,1.85,0,0
NSE_FNO,NSE:NIFTY22JUL17500CE,0,0,-10,0,-10,100,1.7,100,1.6,0,0
NSE_FNO,NSE:NIFTY22SEP15300PE,0,0,-300,0,-300,150,260.25,150,258.25,0,0
NSE_FNO,NSE:NIFTY22SEP16500CE,0,0,-315,0,-315,100,311.95,100,308.8,0,0
,,,,38630,,,,,,,,
